Year,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Mean
1990,-0.2,-0.2,-0.19,-0.19,-0.19,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17,-0.184166667
1991,-0.17,-0.17,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.15,-0.15,-0.15,-0.14,-0.1575
1992,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.15,-0.15,-0.15,-0.14,-0.1425
1993,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.1325
1994,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.110833333
1995,-0.1,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.085
1996,-0.08,-0.08,-0.08,-0.08,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.05,-0.05,-0.0675
1997,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.03,-0.03,-0.039166667
1998,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,0,0,-0.018333333
1999,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.023333333
2000,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.0475
2001,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.069166667
2002,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.094166667
2003,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.118333333
2004,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1075
2005,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.106666667
2006,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129166667
2007,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.140833333
2008,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
2009,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1525
2010,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.130833333
2011,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1
2012,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2013,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.075833333
2014,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2015,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06
