Year,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Mean
1990,-0.164,-0.162,-0.159,-0.155,-0.15,-0.144,-0.141,-0.138,-0.135,-0.132,-0.129,-0.127,-0.144666667
1991,-0.124,-0.122,-0.12,-0.117,-0.115,-0.115,-0.113,-0.111,-0.109,-0.109,-0.108,-0.106,-0.114083333
1992,-0.103,-0.102,-0.1,-0.1,-0.099,-0.1,-0.101,-0.104,-0.105,-0.105,-0.106,-0.104,-0.102416667
1993,-0.103,-0.101,-0.097,-0.095,-0.092,-0.089,-0.087,-0.083,-0.08,-0.076,-0.072,-0.068,-0.086916667
1994,-0.067,-0.064,-0.063,-0.06,-0.057,-0.054,-0.053,-0.052,-0.051,-0.051,-0.05,-0.049,-0.055916667
1995,-0.048,-0.046,-0.044,-0.042,-0.04,-0.04,-0.039,-0.038,-0.038,-0.039,-0.041,-0.041,-0.041333333
1996,-0.042,-0.041,-0.04,-0.039,-0.038,-0.035,-0.033,-0.031,-0.028,-0.025,-0.022,-0.018,-0.032666667
1997,-0.015,-0.012,-0.01,-0.009,-0.008,-0.007,-0.007,-0.004,0,0.004,0.006,0.009,-0.004416667
1998,0.012,0.014,0.016,0.019,0.022,0.025,0.028,0.034,0.04,0.044,0.048,0.053,0.029583333
1999,0.057,0.061,0.065,0.068,0.07,0.073,0.077,0.081,0.085,0.088,0.091,0.092,0.075666667
2000,0.094,0.095,0.098,0.1,0.102,0.103,0.103,0.104,0.106,0.108,0.108,0.109,0.1025
2001,0.109,0.11,0.111,0.113,0.115,0.119,0.123,0.127,0.13,0.133,0.136,0.139,0.122083333
2002,0.142,0.144,0.146,0.147,0.148,0.148,0.149,0.149,0.15,0.15,0.15,0.151,0.147833333
2003,0.15,0.15,0.149,0.146,0.145,0.144,0.142,0.139,0.137,0.134,0.131,0.129,0.141333333
2004,0.126,0.124,0.122,0.12,0.12,0.119,0.12,0.119,0.117,0.117,0.117,0.118,0.119916667
2005,0.119,0.121,0.123,0.126,0.129,0.132,0.136,0.14,0.143,0.145,0.147,0.149,0.134166667
2006,0.151,0.153,0.154,0.154,0.156,0.157,0.156,0.156,0.156,0.154,0.152,0.15,0.154083333
2007,0.148,0.146,0.145,0.144,0.146,0.148,0.152,0.157,0.159,0.161,0.162,0.163,0.152583333
2008,0.164,0.164,0.166,0.166,0.166,0.165,0.165,0.164,0.163,0.162,0.16,0.158,0.163583333
2009,0.156,0.154,0.151,0.149,0.148,0.149,0.149,0.15,0.15,0.15,0.149,0.147,0.150166667
2010,0.146,0.145,0.143,0.14,0.138,0.135,0.134,0.132,0.13,0.13,0.129,0.13,0.136
2011,0.13,0.13,0.131,0.132,0.133,0.134,0.135,0.136,0.136,0.136,0.137,0.137,0.133916667
2012,0.137,0.138,0.137,0.139,0.14,0.141,0.143,0.145,0.147,0.15,0.151,0.153,0.143416667
2013,0.153,0.154,0.154,0.153,0.153,0.151,0.149,0.148,0.148,0.148,0.146,0.145,0.150166667
2014,0.145,0.146,0.148,0.151,0.153,0.154,0.156,0.157,0.158,0.159,0.158,0.159,0.153666667
2015,0.159,0.162,0.163,0.164,0.163,0.161,0.16,0.16,0.159,0.157,0.156,0.155,0.159916667
2016,0.155,0.155,0.155,0.155,0.155,0.156,0.156,0.157,0.16,0.163,0.166,0.169,0.1585
2017,0.171,0.173,0.173,0.174,0.175,0.175,0.174,0.174,0.176,0.177,0.176,0.177,0.174583333
